Latitude,Longitude,MedInc
37.69,-121.01,2.48
32.97,-115.52,1.975
38.57,-121.37,5.2449
33.76,-118.13,4.25
37.28,-121.95,4.0208
34.2,-118.18,8.72
37.74,-122.16,2.0227
36.57,-118.65,1.4821
36.83,-121.37,4.76
33.98,-118.23,2.2059
34.12,-118.01,3.94
33.75,-116.97,1.3039
39.33,-121.8,2.5259
33.93,-118.12,3.0909
39.83,-121.58,2.2419
40.17,-122.72,1.3889
36.1,-119.57,1.5727
37.79,-122.23,2.9357
37.84,-122.23,5.2868
37.54,-122.36,10.1675
33.71,-117.99,3.6696
39.31,-123.81,3.3654
33.69,-114.56,1.6509
37.76,-122.19,2.4659
36.75,-119.69,4.7463
33.86,-118.14,5.0106
37.67,-122.49,4.6771
38.53,-120.59,3.6125
38.52,-121.51,4.0972
32.78,-115.57,5.127999999999999
33.97,-117.4,5.0194
33.89,-117.88,4.5
37.49,-122.24,2.5833
34.02,-118.26,2.1667
35.77,-119.23,4.1917
38.66,-121.27,6.1872
37.94,-122.33,4.0526
34.41,-119.74,5.5959
32.57,-117.11,3.3371
32.83,-117.09,4.8419
33.02,-117.28,4.2356
36.61,-121.84,2.5663
34.0,-118.46,3.6458
34.16,-119.18,3.6546
34.13,-119.05,5.0066
38.61,-121.49,3.4291
38.55,-121.42,2.6417
34.44,-119.73,4.8021
33.71,-116.68,3.5882
38.31,-122.28,1.76
32.58,-117.13,3.1645
34.1,-117.63,2.6582
32.69,-117.09,3.1833
34.17,-118.94,6.3303
34.14,-117.32,1.8438
39.5,-121.52,3.2833
34.09,-117.62,4.0139
36.95,-120.05,1.4
36.9,-121.68,5.2729
37.25,-121.81,4.4565
32.82,-117.21,3.8529
36.96,-122.03,2.5067
36.85,-121.53,2.6719
38.61,-121.4,4.1488
35.35,-119.01,1.9125
37.62,-121.05,3.4125
35.4,-118.98,3.4205
36.32,-119.33,1.6148
33.81,-118.31,4.3056
37.03,-121.79,3.934
38.03,-122.36,4.3173
38.84,-121.81,2.8542
37.55,-121.96,4.1387
38.68,-121.38,4.0673
37.88,-122.28,4.2614
37.64,-121.02,2.1036
33.95,-118.2,2.1406
33.98,-118.3,3.0455
37.75,-122.43,3.575
36.08,-119.07,3.0
33.79,-118.18,1.6384
33.88,-118.37,4.4828
34.12,-118.33,6.0352
38.41,-122.07,3.4741
34.03,-118.42,3.3542
33.21,-117.25,2.066
33.77,-118.41,10.06
35.37,-118.99,1.4773
33.89,-118.1,3.5865
32.74,-117.1,1.6747
33.99,-118.12,2.4219
34.12,-117.23,2.3848
35.13,-119.47,2.9952
38.7,-121.27,4.6488
38.0,-121.35,3.4231
36.04,-118.92,2.9208
38.42,-122.73,4.3523
38.47,-122.66,3.7617
39.5,-121.58,2.1658
33.88,-117.82,7.0526
34.26,-118.77,5.6385
37.5,-122.26,3.6111
36.75,-119.77,1.7083
39.74,-121.86,1.1019
36.77,-119.76,2.1439
38.55,-121.78,2.9605
33.93,-117.43,2.4922
38.62,-121.37,3.0139
33.51,-117.66,4.0167
33.86,-118.25,6.0531
33.99,-118.3,1.8317
37.85,-122.23,6.3434
34.13,-118.02,3.9464
33.93,-117.42,3.1795
37.79,-122.42,2.6607
34.21,-118.58,4.7125
38.1,-122.22,3.1204
37.46,-122.26,7.0001
37.62,-122.4,3.1058
37.7,-120.99,3.5877
39.75,-121.8,3.1125
37.4,-122.22,15.0001
33.96,-118.14,4.0536
37.4,-122.11,4.9519
36.19,-119.82,2.0221
34.09,-118.36,2.5812
34.28,-118.44,2.875
37.34,-121.88,2.6312
34.19,-118.52,4.8295
33.73,-116.93,4.0433
38.46,-122.58,3.3981
38.75,-120.7,2.9
37.72,-122.13,6.5095
33.48,-117.65,13.0502
33.82,-117.84,4.7946
36.99,-122.01,3.6902
37.52,-122.28,5.4719
33.7,-117.88,5.4836
37.35,-121.88,2.8167
33.93,-118.25,0.9298
34.16,-118.24,6.6603
36.29,-119.79,4.2917
33.98,-118.1,3.5268
34.25,-119.03,6.196000000000001
34.66,-120.45,4.7875
37.76,-122.41,2.6667
37.94,-122.05,4.6602
39.75,-121.87,3.6625
34.72,-118.14,4.625
33.98,-118.27,1.3042
33.98,-118.1,3.4083
33.79,-118.09,6.6312
34.13,-117.35,3.7286
34.14,-117.65,8.4839
33.9,-118.12,2.9375
34.19,-118.6,2.8312
34.17,-117.28,1.7456
32.59,-117.05,4.2679
33.86,-117.97,3.6471
33.95,-117.24,4.7877
37.54,-122.31,4.75
37.77,-122.2,2.0562
34.12,-118.06,3.6639
34.0,-118.33,4.2917
37.95,-121.98,6.7371
37.8,-122.41,1.9145
37.96,-121.22,1.9875
34.43,-119.66,3.8456
33.88,-117.77,8.1117
32.77,-116.99,6.1103
32.79,-117.01,4.3152
37.57,-122.34,7.0422
32.95,-117.18,6.3237
32.7,-117.11,1.8125
34.08,-118.26,2.5428
37.36,-122.14,12.1387
34.08,-118.39,3.8088
34.42,-119.71,2.2097
33.91,-118.15,3.3182
38.54,-122.81,1.1553
34.08,-118.37,6.0338
34.13,-118.08,8.4546
33.75,-116.91,2.3169
33.68,-117.79,8.735
34.26,-118.3,4.1964
37.4,-120.94,3.0
33.89,-118.4,7.9611
33.38,-117.25,3.0
37.94,-122.54,5.1834
34.03,-117.64,4.1779
37.42,-120.77,2.3333
33.18,-117.17,3.0221
35.31,-120.84,2.8493
32.75,-117.18,8.603
34.03,-118.35,1.9928
37.98,-121.32,3.0660000000000003
34.57,-117.29,1.2548
34.08,-118.04,4.037
34.11,-118.24,2.7679
34.46,-117.12,2.6827
34.16,-118.39,5.1584
37.3,-121.93,4.0653
37.71,-122.12,4.0
34.17,-118.15,2.0278
32.76,-117.25,4.9125
33.88,-118.29,4.317
32.8,-117.07,5.1488
33.66,-117.97,2.8061
32.69,-117.1,1.2413
34.52,-118.5,5.9263
34.18,-118.37,2.9228
36.32,-119.64,1.3569
34.14,-118.45,7.9625
40.52,-122.33,3.5081
33.72,-116.21,2.3169
33.63,-117.8,4.1944
34.64,-120.46,0.8106
37.96,-121.3,1.125
33.93,-117.94,4.0833
34.06,-118.39,8.0095
35.38,-119.01,1.1944
36.82,-119.85,5.5405
34.16,-118.36,4.3542
37.74,-122.41,4.1417
38.35,-122.71,2.3464
33.77,-118.17,2.2538
37.9,-122.45,8.4888
32.83,-117.08,6.4335
38.57,-121.51,2.2031
33.19,-117.24,2.9191
34.42,-118.47,5.2887
39.47,-123.8,2.7857
34.26,-118.32,4.4875
37.41,-121.86,6.1256
37.91,-122.31,2.7628
33.91,-118.02,5.1155
33.9,-118.42,5.308
33.88,-117.92,5.3649
32.78,-116.97,3.7019
37.78,-122.22,1.4886
37.36,-121.83,3.1982
39.75,-122.2,2.0192
34.06,-117.75,0.4999
37.26,-121.99,7.9234
33.68,-117.23,3.8869
33.94,-117.94,4.5096
40.56,-122.38,3.5347
33.02,-117.21,10.156
33.08,-117.29,5.7787
35.49,-119.38,2.2071
34.1,-118.21,3.7437
34.15,-118.26,3.0
37.94,-121.94,6.2296
33.72,-118.06,15.0001
34.02,-118.39,3.4375
32.88,-117.23,1.858
34.27,-118.65,6.0783
34.05,-118.2,2.0885
37.52,-121.97,5.0824
33.87,-117.78,5.3307
33.79,-118.25,2.7143
36.83,-119.79,2.2215
33.84,-117.95,3.4028
33.87,-117.93,1.4803
33.99,-118.22,4.3164
33.91,-118.18,2.0625
34.3,-118.67,7.9013
34.13,-117.23,1.645
36.6,-121.83,4.3472
33.99,-117.64,2.4375
37.64,-122.09,4.1141
34.17,-118.56,7.1322
36.95,-120.09,4.1544
38.29,-122.26,6.5799
33.79,-118.28,4.3816
37.67,-122.09,2.3357
34.1,-118.32,1.7325
33.94,-118.28,3.0788
36.98,-120.05,2.5288
39.76,-121.62,1.7788
34.08,-118.1,2.5
38.72,-121.25,5.2177
40.5,-124.1,1.7574
32.93,-117.15,5.1433
41.8,-124.17,3.7557
34.13,-118.26,2.6673
32.76,-117.12,2.5991
34.03,-118.09,5.5
36.49,-121.74,4.4209
32.73,-117.1,2.2375
36.76,-119.75,1.4107
38.23,-122.63,3.0139
33.89,-117.82,4.6172
33.95,-117.41,3.0542
35.13,-118.44,1.8636
33.95,-117.39,3.1667
34.04,-117.96,4.025
33.93,-118.04,3.1979
39.8,-120.15,3.0625
39.12,-120.69,2.2917
36.75,-119.69,4.0027
33.93,-118.28,1.4329
33.23,-117.08,4.15
37.75,-122.17,2.3281
36.6,-121.7,5.0162
34.05,-118.1,2.9130000000000003
32.61,-117.05,3.2633
33.88,-116.53,4.6855
33.79,-117.85,3.8929
34.22,-117.09,4.0
34.16,-118.07,4.2143
34.28,-119.22,5.533
37.46,-122.15,5.6234
34.08,-117.72,3.2481
34.07,-117.74,3.0294
33.85,-117.8,5.806
33.61,-117.92,10.3048
37.89,-122.04,7.5349
37.77,-122.45,3.5435
37.81,-122.45,3.9028
37.65,-121.0,0.6825
32.72,-117.15,1.3071
39.15,-121.62,1.9375
32.83,-117.31,4.1477
34.06,-118.22,2.2344
33.89,-118.26,2.8493
34.45,-119.74,6.0597
33.77,-118.13,5.3046
36.91,-121.76,1.9609
37.7,-122.12,2.9922
33.83,-117.93,3.375
37.92,-122.52,14.5833
37.73,-122.27,3.2689
34.17,-118.15,1.0846
37.8,-122.24,2.957
34.16,-118.33,3.7941
34.13,-117.25,2.5234
33.61,-117.91,4.8
36.29,-119.8,5.1728
33.92,-118.08,4.5382
36.34,-119.29,1.474
32.73,-116.95,5.2671
38.54,-123.25,3.3536
36.21,-119.33,2.6083
38.67,-121.63,2.625
37.36,-122.22,8.7382
34.91,-120.44,5.299
40.02,-122.06,2.3043
32.81,-117.17,4.22
38.27,-122.49,3.5625
37.26,-122.02,10.2666
37.36,-121.98,5.7059
33.93,-117.59,7.8118
38.09,-122.61,6.9081
33.1,-117.25,3.9464
37.72,-121.92,5.1437
37.78,-122.21,1.8472
36.93,-122.0,3.1932
32.74,-117.16,3.06
39.59,-121.9,3.0625
33.98,-118.46,5.2121
33.78,-118.19,2.8533
34.03,-118.32,2.8971
37.68,-121.89,6.3373
35.6,-117.66,2.5812
34.21,-118.85,3.4773
33.84,-118.09,4.54
33.88,-118.21,3.225
36.8,-119.72,3.1953
33.86,-118.12,4.8516
39.43,-121.22,1.7
34.1,-118.11,3.3801
36.71,-121.63,3.9818
